,Name,Address,Notes,Phone_Number,Station_Type,Vaccine_Type,Notes
833,Walgreens/Duane Reade ,"7001 Amboy Road, Staten Island","Walk-up vaccinations available to all eligible New Yorkers , ",(800) 925-4733,Pharmacy ,Vaccines offered:Pfizer (5-11)Moderna (18+),"Walk-up vaccinations available to all eligible New Yorkers , "
834,Walgreens/Duane Reade ,"7009 13th Avenue, Brooklyn",,(800) 925-4733,Pharmacy ,Vaccine offered:Pfizer (12+),
835,Walgreens/Duane Reade ,"711 3rd Avenue, Manhattan",,(800) 925-4733,Pharmacy ,Vaccine offered:Pfizer (12+),
836,Walgreens/Duane Reade ,"713 Brighton Beach Avenue, Brooklyn",,(800) 925-4733,Pharmacy ,Vaccine offered:Pfizer (12+),
837,Walgreens/Duane Reade ,"721 9th Avenue, Manhattan",,(800) 925-4733,Pharmacy ,Vaccine offered:Pfizer (12+),
838,Walgreens/Duane Reade ,"724 Flatbush Avenue, Brooklyn",,(800) 925-4733,Pharmacy ,Vaccine offered:Moderna (18+),
839,Walgreens/Duane Reade ,"73-01 37th Avenue, Queens","Walk-up vaccinations available to all eligible New Yorkers , ",(800) 925-4733,Pharmacy ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , "
840,Walgreens/Duane Reade ,"73-21 Kissena Boulevard, Queens",,(800) 925-4733,Pharmacy ,Vaccine offered:Pfizer (12+),
841,Walgreens/Duane Reade ,"750 Manhattan Avenue, Brooklyn",,(800) 925-4733,Pharmacy ,Vaccine offered:Moderna (18+),
842,Walgreens/Duane Reade ,"755 Broadway, Brooklyn","Walk-up vaccinations available to all eligible New Yorkers , ",(800) 925-4733,Pharmacy ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , "
843,Walgreens/Duane Reade ,"756 Myrtle Avenue, Brooklyn",,(800) 925-4733,Pharmacy ,Vaccine offered:Moderna (18+),
844,Walgreens/Duane Reade ,"75-75 31st Avenue, Queens","Walk-up vaccinations available to all eligible New Yorkers , ",(800) 925-4733,Pharmacy ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , "
845,Walgreens/Duane Reade ,"758 Arthur Kill Road, Staten Island",,(800) 925-4733,Pharmacy ,Vaccine offered:Moderna (18+),
846,Walgreens/Duane Reade ,"77 7th Avenue, Manhattan",,(800) 925-4733,Pharmacy ,Vaccines offered:Pfizer (5-11)Moderna (18+),
847,Walgreens/Duane Reade ,"773 Lexington Avenue, Manhattan",,(800) 925-4733,Pharmacy ,Vaccine offered:Moderna (18+),
848,Walgreens/Duane Reade ,"777 Avenue Of The Americas, Manhattan",,(800) 925-4733,Pharmacy ,Vaccine offered:Moderna (18+),
849,Walgreens/Duane Reade ,"78-14 Linden Boulevard, Queens",,(800) 925-4733,Pharmacy ,Vaccine offered:Pfizer (12+),
850,Walgreens/Duane Reade ,"7821 3rd Avenue, Brooklyn",,(800) 925-4733,Pharmacy ,Vaccine offered:Pfizer (12+),
851,Walgreens/Duane Reade ,"8011 Eliot Ave, Queens","Walk-up vaccinations available to all eligible New Yorkers , ",(800) 925-4733,Pharmacy ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , "
852,Walgreens/Duane Reade ,"82-77 Broadway, Queens","Walk-up vaccinations available to all eligible New Yorkers , ",(800) 925-4733,Pharmacy ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , "
853,Walgreens/Duane Reade ,"84-20 Broadway, Queens","Walk-up vaccinations available to all eligible New Yorkers , ",(800) 925-4733,Pharmacy ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , "
854,Walgreens/Duane Reade ,"84-32 Jamaica Avenue, Queens",,(800) 925-4733,Pharmacy ,Vaccine offered:Pfizer (12+),
855,Walgreens/Duane Reade ,"852 2nd Avenue, Manhattan",,(800) 925-4733,Pharmacy ,Vaccine offered:Pfizer (12+),
856,Walgreens/Duane Reade ,"866 3rd Avenue, Manhattan",,(800) 925-4733,Pharmacy ,Vaccine offered:Moderna (18+),
857,Walgreens/Duane Reade ,"900 8th Avenue, Manhattan","Walk-up vaccinations available to all eligible New Yorkers , ",(800) 925-4733,Pharmacy ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , "
858,Walgreens/Duane Reade ,"90-01 Sutphin Boulevard, Queens","Walk-up vaccinations available to all eligible New Yorkers , ",(800) 925-4733,Pharmacy ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , "
859,Walgreens/Duane Reade ,"91-08 Roosevelt Avenue, Queens",,(800) 925-4733,Pharmacy ,Vaccine offered:Pfizer (12+),
860,Walgreens/Duane Reade ,"925 Soundview Ave, Bronx",,(800) 925-4733,Pharmacy ,Vaccine offered:Moderna (18+),
861,Walgreens/Duane Reade ,"931 1st Avenue, Manhattan",,(800) 925-4733,Pharmacy ,Vaccine offered:Moderna (18+),
862,Walgreens/Duane Reade ,"93-12 Astoria Boulevard, Queens",,(800) 925-4733,Pharmacy ,Vaccine offered:Pfizer (12+),
863,Walgreens/Duane Reade ,"9408 3rd Avenue, Brooklyn",,(800) 925-4733,Pharmacy ,Vaccine offered:Moderna (18+),
864,Walgreens/Duane Reade ,"946 Kings Highway, Brooklyn","Walk-up vaccinations available to all eligible New Yorkers , ",(800) 925-4733,Pharmacy ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , "
865,Walgreens/Duane Reade ,"949 3rd Avenue, Manhattan","Walk-up vaccinations available to all eligible New Yorkers , ",(800) 925-4733,Pharmacy ,Vaccines offered:Pfizer (5-11)Moderna (18+),"Walk-up vaccinations available to all eligible New Yorkers , "
866,Walgreens/Duane Reade ,"95 Wall Street, Manhattan",,(800) 925-4733,Pharmacy ,Vaccine offered:Pfizer (12+),
867,Walgreens/Duane Reade ,"95-11 63rd Drive, Queens",,(800) 925-4733,Pharmacy ,Vaccine offered:Pfizer (12+),
868,Walgreens/Duane Reade ,"955 Manor Road, Staten Island","Walk-up vaccinations available to all eligible New Yorkers , ",(800) 925-4733,Pharmacy ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , "
869,Walgreens/Duane Reade ,"96-02 Rockaway Blvd, Queens",,(800) 925-4733,Pharmacy ,Vaccine offered:Pfizer (12+),
870,Watsons Pharmacy ,"192-21 Station Road, Queens","Walk-up vaccinations available to all eligible New Yorkers , ",(347) 732-9724,Pharmacy ,Vaccines offered:Moderna (18+)Pfizer (5-11)Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , "
871,Webster Drugs Inc. ,"753 East Tremont Avenue, Bronx","Walk-up vaccinations available to all eligible New Yorkers , ",(718) 901-4717,Pharmacy ,Vaccines offered:Pfizer (12+)Moderna (18+)Johnson & Johnson (18+),"Walk-up vaccinations available to all eligible New Yorkers , "
872,Well-Care Pharmacy ,"397 East 167th Street, Bronx","Walk-up vaccinations available to all eligible New Yorkers , ",(718) 590-0853,Pharmacy ,Vaccine offered:Moderna (18+),"Walk-up vaccinations available to all eligible New Yorkers , "
873,Wellness Pharmacy ,"144 West 72nd Street, Manhattan",,(212) 439-4718,Pharmacy ,Vaccine offered:Moderna (18+),
874,Westside Pharmacy ,"210 Avenue U, Brooklyn","Walk-up vaccinations available to all eligible New Yorkers , ",(718) 373-4100,Pharmacy ,Vaccines offered:Moderna (18+)Johnson & Johnson (18+)Pfizer (12+)Pfizer (5-11),"Walk-up vaccinations available to all eligible New Yorkers , "
875,Woodhaven Chemist Pharmacy ,"86-22 Jamaica Avenue, Queens","Walk-up vaccinations available to all eligible New Yorkers , ",(718) 441-7111,Pharmacy ,Vaccines offered:Moderna (18+)Pfizer (12+)Pfizer (5-11)Johnson & Johnson (18+),"Walk-up vaccinations available to all eligible New Yorkers , "
876,Zitomer Pharmacy Inc ,"969 Madison Avenue, Manhattan",,(212) 737-5560,Pharmacy ,Vaccines offered:Pfizer (12+)Johnson & Johnson (18+)Moderna (18+)Pfizer (5-11),
877,2020 Medical Center ,"219-15 Linden Boulevard, Queens",,(718) 732-7744,Primary Care ,Vaccines offered:Johnson & Johnson (18+)Moderna (18+),
878,8th Avenue Medical Office ,"775 57th Street, Brooklyn","Walk-up vaccinations available to all eligible New Yorkers , ",(718) 439-6163,Primary Care ,Vaccines offered:Moderna (18+)Johnson & Johnson (18+),"Walk-up vaccinations available to all eligible New Yorkers , "
879,Abbydek Family Medical Practice ,"105-22 Jamaica Avenue, Queens",,(718) 849-0702,Primary Care ,Vaccine offered:Moderna (18+),
880,Abbydek Family Medical Practice ,"656 Pennsylvania Avenue, Brooklyn",,(718) 342-2446,Primary Care ,Vaccine offered:Moderna (18+),
881,Abbydek Family Medical Practice ,"7838 Parsons Boulevard, Queens","Walk-up vaccinations available to all eligible New Yorkers , ",(718) 591-1600,Primary Care ,Vaccine offered:Moderna (18+),"Walk-up vaccinations available to all eligible New Yorkers , "
882,Advanced Rehabilitation ,"2305 Hylan Blvd, Staten Island","Walk-up vaccinations available to all eligible New Yorkers , ",(718) 667-0297,Primary Care ,Vaccines offered:Johnson & Johnson (18+)Moderna (18+),"Walk-up vaccinations available to all eligible New Yorkers , "
883,Advanta Medical PC ,"3140 Coney Island Avenue, 3rd Floor, Brooklyn",,(718) 934-8484,Primary Care ,Vaccine offered:Johnson & Johnson (18+),
884,AFC Family Health ,"1200 Webster Avenue, Bronx",,(646) 612-7938,Primary Care ,Vaccine offered:Moderna (18+),
885,Ahmad Mahdi Pediatrics ,"8314 4th Ave, Brooklyn","Walk-up vaccinations available to all eligible New Yorkers , ",(718) 833-0741,Primary Care ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , "
886,Amazing Medical Services ,"110-16 Sutphin Boulevard, 1st Floor, Queens",,(718) 526-7600,Primary Care ,Vaccine offered:Moderna (18+),
887,AMB Medical Services ,"66-55 Fresh Pond Road, Queens","Walk-up vaccinations available to all eligible New Yorkers , ",(718) 497-1919,Primary Care ,Vaccine offered:Moderna (18+),"Walk-up vaccinations available to all eligible New Yorkers , "
888,Andrew S. Kim MD ,"137-10 Franklin Avenue, L1, Queens",,(718) 359-0005,Primary Care ,Vaccine offered:Moderna (18+),
889,Anthony Bertelle MD ,"7515 13th Avenue, Brooklyn",,(718) 234-8111,Primary Care ,Vaccine offered:Moderna (18+),
890,Apicha Community Health Center ,"400 Broadway, Manhattan","Walk-up vaccinations available to all eligible New Yorkers , ",(646) 572-2268,Community Health Center/Clinic ,Vaccines offered:Moderna (18+)Johnson & Johnson (18+),"Walk-up vaccinations available to all eligible New Yorkers , "
891,APP Health Group ,"6 Ploughmans Bush, Bronx",,(212) 707-8662,Community Health Center/Clinic ,Vaccines offered:Moderna (18+)Johnson & Johnson (18+),
892,Attentive Midwifery P.C. ,"4166A White Plains Rd., Bronx",,(718) 696-6262,Community Health Center/Clinic ,Vaccines offered:Moderna (18+)Johnson & Johnson (18+),
893,Avenue X Primary Medical Care ,"400 Avenue X, Brooklyn",,(718) 376-6500,Primary Care ,Vaccine offered:Moderna (18+),
894,Bayside Pediatric Care PC ,"221-16 Union Turnpike, Queens",,(718) 465-5888,Primary Care ,Vaccines offered:Pfizer (5-11)Pfizer (12+)Moderna (18+)Johnson & Johnson (18+),
895,Bodhi Medical Care LLC ,"302 East 72nd Street, Manhattan",,(888) 603-9338,Primary Care ,Vaccines offered:Moderna (18+)Pfizer (5-11)Pfizer (12+),
896,"Bradley A. Connor, MD ","110 East 55th Street, 16th Floor, Manhattan",,(212) 988-2800,Primary Care ,Vaccines offered:Pfizer (12+)Pfizer (5-11)Johnson & Johnson (18+)Moderna (18+),
897,Brighton Medical and Pediatric Care PC ,"706 Banner Avenue, 1st floor, Brooklyn",,(718) 368-3092,Primary Care ,Vaccine offered:Pfizer (5-11),
898,Brighton Medical Practice PC ,"1199 Ocean Avenue, Brooklyn",,(718) 859-7446,Primary Care ,Vaccines offered:Moderna (18+)Johnson & Johnson (18+),
899,Brightpoint Church Avenue Health Center ,"2412 Church Avenue, Brooklyn",,(929) 459-2255,Community Health Center/Clinic ,Vaccines offered:Moderna (18+)Pfizer (12+),
900,Broadway Pediatrics ,"4250 Broadway, Suite 1C, Manhattan",,(212) 740-3900,Primary Care ,Vaccines offered:Pfizer (12+)Moderna (18+)Pfizer (5-11),
901,Bronx Health Center ,"253 East 142nd Street, Bronx","Walk-up vaccinations available to all eligible New Yorkers , ",(718) 306-6220,Primary Care ,Vaccines offered:Moderna (18+)Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , "
902,Bronx Health Collective ,"871 Prospect Avenue, Bronx",,N/A,Community Health Center/Clinic ,Vaccine offered:Moderna (18+),
903,Bronx Health Collective ,"890 Prospect Avenue, Bronx",,N/A,Community Health Center/Clinic ,Vaccine offered:Moderna (18+),
904,Bronx Treatment Center ,"1250 Shakespeare Avenue, Bronx","Walk-up vaccinations available to all eligible New Yorkers , ",(646) 350-1633,Primary Care ,Vaccine offered:Moderna (18+),"Walk-up vaccinations available to all eligible New Yorkers , "
905,BronxCare Dr. Martin Luther King Jr. Health Center ,"1265 Franklin Avenue, Bronx","Walk-up vaccinations available to all eligible New Yorkers , ",(718) 590-1800,Community Health Center/Clinic ,Vaccines offered:Moderna (18+)Johnson & Johnson (18+),"Walk-up vaccinations available to all eligible New Yorkers , "
906,BronxCare Health and Wellness Center ,"199 Mt. Eden Avenue, Bronx",,(718) 992-7669,Community Health Center/Clinic ,Vaccines offered:Pfizer (12+)Moderna (18+),
907,BronxCare Hospital Center ,"1650 Grand Concourse, Bronx",,(718) 992-7669,Hospital-Based Health Center/Clinic ,Vaccine offered:Pfizer (12+),
908,BronxCare Life Recovery Center ,"1285 Fulton Avenue, Bronx",,(718) 992-7669,Hospital-Based Health Center/Clinic ,Vaccine offered:Moderna (18+),
909,BronxWorks ,"1130 Grand Concourse, Bronx","Walk-up vaccinations available to all eligible New Yorkers , ",(833) 766-6769,Community Health Center/Clinic ,Vaccine offered:Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , "
910,Brooklyn Family Medical Associates ,"8210 18th Avenue, Brooklyn",,(347) 312-3095,Primary Care ,Vaccine offered:Pfizer (12+),
911,Brooklyn NP ,"210 Montrose Avenue, 1st floor, Brooklyn",,(718) 417-1117,Primary Care ,Vaccine offered:Moderna (18+),
912,"Brooklyn Plaza Medical Center, Inc. ","650 Fulton Street, Brooklyn",,(929) 489-8356,Primary Care ,Vaccines offered:Pfizer (5-11)Moderna (18+)Pfizer (12+),
913,C&Y Medical PC ,"408 Jay Street, Suite 500, Brooklyn",,(718) 596-5555,Primary Care ,Vaccine offered:Johnson & Johnson (18+),
914,CAIPA Care ,"41 Elizabeth St, Suite 600, Manhattan",,(212) 203-6683,Community Health Center/Clinic ,Vaccine offered:Moderna (18+),
915,Camkids Pediatrics ,"117-06 225th Street, Queens",,(718) 712-8511,Primary Care ,Vaccines offered:Pfizer (5-11)Pfizer (12+),
916,Caring Link Family Practice ,"650 E 226th Street, Suite 1, Bronx","Walk-up vaccinations available to all eligible New Yorkers , ",(929) 450-4440,Primary Care ,Vaccines offered:Moderna (18+)Johnson & Johnson (18+),"Walk-up vaccinations available to all eligible New Yorkers , "
917,Carlos Ortiz Pediatrics ,"142-42A 41st Avenue, Queens","Walk-up vaccinations available to all eligible New Yorkers , ",(718) 939-8440,Primary Care ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , "
918,Cedi Medical Office ,"2940 Grand Concourse, Unit 1A-1B, Bronx",,(718) 220-0900,Primary Care ,Vaccines offered:Moderna (18+)Johnson & Johnson (18+),
919,Centers Urgent Care - Avenue U ,"2370 Coney Island Avenue, Brooklyn",,(718) 819-6780,Urgent Care ,Vaccine offered:Pfizer (12+),
920,Centers Urgent Care - Coney Island ,"626 Sheepsheadbay Road, Brooklyn",,(718) 215-7340,Urgent Care ,Vaccine offered:Pfizer (12+),
921,Centers Urgent Care - Flatbush ,"1811 Avenue J, Brooklyn",,(718) 819-6780,Urgent Care ,Vaccine offered:Pfizer (12+),
922,Centers Urgent Care - Gateway Mall ,"1203 Elton Street, Brooklyn",,(718) 215-7340,Urgent Care ,Vaccine offered:Pfizer (12+),
923,Centers Urgent Care - Middle Village ,"61-22 Fresh Pond Road, Queens",,(718) 502-3000,Urgent Care ,Vaccine offered:Pfizer (12+),
924,Chaula Patel MD ,"1560 Grand Concourse, Suite 102, Bronx","Walk-up vaccinations available to all eligible New Yorkers , ",(917) 792-2087,Primary Care ,Vaccine offered:Moderna (18+),"Walk-up vaccinations available to all eligible New Yorkers , "
925,CHI Health Center ,"2882 West 15th Street, Brooklyn",,(718) 210-3110,Community Health Center/Clinic ,Vaccines offered:Moderna (18+)Pfizer (5-11),
926,Chi Shum MD ,"210 E 47th Street, 1A, Manhattan",,(212) 308-4894,Primary Care ,Vaccines offered:Moderna (18+)Johnson & Johnson (18+),
927,City Care Medical ,"2-24 Beach 20th Street, Queens",,(516) 789-3044,Primary Care ,Vaccine offered:Johnson & Johnson (18+),
928,City Care Medical ,"227-19 Merrick Blvd, Queens",,(718) 276-4482,Primary Care ,Vaccines offered:Moderna (18+)Johnson & Johnson (18+),
929,City Care Medical ,"710 Courtlandt Avenue, Bronx",,(718) 819-3333,Primary Care ,Vaccines offered:Johnson & Johnson (18+)Moderna (18+),
930,City Prime Health ,"28-02 Crescent Street, Queens",,(718) 278-6666,Primary Care ,Vaccine offered:Moderna (18+),
931,City Prime Health ,"3410 Broadway, 2nd Floor, Manhattan",,(212) 470-1000,Primary Care ,Vaccine offered:Moderna (18+),
932,City Prime Health ,"3671 Broadway, Manhattan",,(212) 933-1386,Primary Care ,Vaccine offered:Moderna (18+),
933,City Prime Health ,"423 East 138th Street, 1st Floor, Bronx",,(718) 292-6144,Primary Care ,Vaccine offered:Moderna (18+),
934,City Prime Health ,"565 West 125th Street, Manhattan",,(212) 470-1000,Primary Care ,Vaccine offered:Moderna (18+),
935,City Prime Health ,"6008 Junction Boulevard, Queens",,(718) 600-3406,Primary Care ,Vaccine offered:Moderna (18+),
936,City Prime Health ,"814 East 156th Street, Bronx",,(718) 665-1746,Primary Care ,Vaccine offered:Moderna (18+),
937,Citywide Urgent Care ,"236 Broadway, Brooklyn","Walk-up vaccinations available to all eligible New Yorkers , ",(718) 307-1230,Urgent Care ,Vaccines offered:Moderna (18+)Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , "
938,Citywide Urgent Care - Bronx ,"320 East 204th Street, Bronx","Walk-up vaccinations available to all eligible New Yorkers , ",(718) 223-5356,Urgent Care ,Vaccine offered:Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , "
939,Citywide Urgent Care - Nostrand ,"2361 Nostrand Avenue, Suite 101, Brooklyn","Walk-up vaccinations available to all eligible New Yorkers , ",(718) 703-7788,Urgent Care ,Vaccines offered:Pfizer (5-11)Johnson & Johnson (18+)Moderna (18+)Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , "
940,Claremont Family Health Center ,"262-4 East 174th Street, Bronx",,(718) 734-2539,Community Health Center/Clinic ,Vaccine offered:Moderna (18+),
941,Cohen Medical Clinic ,"352 Thomas S Boyland Street, Brooklyn","Walk-up vaccinations available to all eligible New Yorkers , ",(718) 484-9116,Primary Care ,Vaccines offered:Johnson & Johnson (18+)Pfizer (5-11)Moderna (18+)Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , "
942,Coney Island Health Services Inc ,"3514 Mermaid Avenue, Brooklyn","Walk-up vaccinations available to all eligible New Yorkers , ",(718) 265-9108,Primary Care ,Vaccines offered:Pfizer (12+)Moderna (18+),"Walk-up vaccinations available to all eligible New Yorkers , "
943,Daystar Medical Services ,"1180 East 92nd Street, Brooklyn",,(718) 257-3232,Primary Care ,Vaccine offered:Moderna (18+),
944,DET Medical PC ,"175-67 Hillside Ave, Queens","Walk-up vaccinations available to all eligible New Yorkers , ",(718) 526-1839,Primary Care ,Vaccine offered:Moderna (18+),"Walk-up vaccinations available to all eligible New Yorkers , "
945,Doctor Urgent Medical Care - Bronx ,"538 East Fordham Rd, 1st Floor, Bronx",,(347) 630-2323,Urgent Care ,Vaccine offered:Moderna (18+),
946,"Dong Hong Shong, MDPC ","136-68 Roosevelt Avenue, STE 4B, Queens",,(718) 539-3648,Primary Care ,Vaccine offered:Moderna (18+),
947,Doral Medical and Multispecialty Facility LLC ,"1797 Pitkin Avenue, 2nd Floor, Brooklyn",,(347) 955-3464,Community Health Center/Clinic ,Vaccine offered:Pfizer (12+),
948,"Downtown Family Medicine, PC ","65 Broadway, Suite 1806, Manhattan",,(212) 482-2400,Primary Care ,Vaccines offered:Pfizer (5-11)Pfizer (12+)Moderna (18+)Johnson & Johnson (18+),
949,Dr. Arthur Hall M.D ,"3018 Colden Avenue, Bronx","Walk-up vaccinations available to all eligible New Yorkers , ",(718) 652-6206,Primary Care ,Vaccines offered:Pfizer (12+)Pfizer (5-11),"Walk-up vaccinations available to all eligible New Yorkers , "
950,Dr. Moysik Medical PC ,"3000 Ocean Parkway, Suite L1, Brooklyn",,(718) 972-3693,Primary Care ,Vaccine offered:Moderna (18+),
951,Dr. Pearlman's Medical Care P.C ,"8214 18th Avenue, Brooklyn","Walk-up vaccinations available to all eligible New Yorkers , ",(718) 331-3939,Primary Care ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , "
952,Dr. Uriel Medical PLLC ,"69-27 164th Street, 1st Floor, Queens",,(718) 261-3222,Primary Care ,Vaccines offered:Moderna (18+)Johnson & Johnson (18+)Pfizer (12+),
953,East Sunrise Medical PLLC ,"38-08 Union Street, 5A, Queens",,(718) 888-7907,Primary Care ,Vaccine offered:Moderna (18+),
954,East Sunrise Medical PLLC ,"745 61st Street, 1st Floor, Brooklyn",,(718) 333-5537,Primary Care ,Vaccine offered:Moderna (18+),
955,Elina Yushuvayev MD ,"222-15 Northern Blvd, Lobby A, Queens",,(718) 215-0020,Primary Care ,Vaccine offered:Moderna (18+),
956,Elmside Medical PLLC ,"92-04 Corona Avenue, Queens",,(718) 271-6188,Primary Care ,Vaccines offered:Johnson & Johnson (18+)Moderna (18+),
957,"Endocrine Associate of West Village, PC ","36-36 33rd Street, Suite 311, Queens",,N/A,Primary Care ,Vaccine offered:Pfizer (12+),
958,Essen Health Care: Metro Urgicare ,"1434 Williamsbridge Road, Bronx",,(718) 583-7736,Urgent Care ,Vaccine offered:Moderna (18+),
959,Essen Health Care: Metro Urgicare ,"1550 University Avenue, Bronx",,(718) 583-7736,Urgent Care ,Vaccine offered:Moderna (18+),
960,Essen Health Care: Metro Urgicare ,"2720 White Plains Road, Bronx",,(718) 583-7736,Urgent Care ,Vaccine offered:Moderna (18+),
961,Essen Health Care: Metro Urgicare ,"2742 3rd Avenue, Bronx","Walk-up vaccinations available to all eligible New Yorkers , ",(718) 583-7736,Urgent Care ,Vaccine offered:Moderna (18+),"Walk-up vaccinations available to all eligible New Yorkers , "
962,Essen Health Care: Metro Urgicare ,"540 East 138th Street, Bronx","Walk-up vaccinations available to all eligible New Yorkers , ",(718) 583-7736,Urgent Care ,Vaccine offered:Moderna (18+),"Walk-up vaccinations available to all eligible New Yorkers , "
963,Essen Health Care: Metro Urgicare ,"899 Elton Avenue, Bronx",,(718) 583-7736,Urgent Care ,Vaccine offered:Moderna (18+),
964,Family Health Care PLLC ,"2116 Bath Avenue, Brooklyn",,(347) 338-5111,Primary Care ,Vaccines offered:Moderna (18+)Johnson & Johnson (18+),
965,Family Medical Center ,"5908 5th Ave, Brooklyn","Walk-up vaccinations available to all eligible New Yorkers , ",(347) 227-8448,Primary Care ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"Walk-up vaccinations available to all eligible New Yorkers , "
966,Flushing OB/GYN ,"136-20 38th Avenue, 5E, Queens",,(718) 359-5868,Primary Care ,Vaccine offered:Moderna (18+),
967,Future Care Internal Medicine ,"6405 Yellowstone boulevard, Queens","Walk-up vaccinations available to all eligible New Yorkers , ",(718) 885-4257,Primary Care ,Vaccines offered:Johnson & Johnson (18+)Pfizer (5-11)Moderna (18+),"Walk-up vaccinations available to all eligible New Yorkers , "
968,"George Hall, MD, PC/Manhattan ","217 Grand Street, Suite 401, Manhattan",,(212) 965-1380,Primary Care ,Vaccines offered:Moderna (18+)Johnson & Johnson (18+),
969,Gramercy Pediatrics ,"420 West 23rd Street, Suite AGF, Manhattan",,(212) 473-4200,Primary Care ,Vaccine offered:Pfizer (5-11),
970,Great City Medical ,"68 East 131st Street, Suite 100, Manhattan",,(212) 281-8600,Primary Care ,Vaccine offered:Johnson & Johnson (18+),
971,Gupta Gastro ,"130 Avenue P, Brooklyn",,(718) 372-7434,Primary Care ,Vaccines offered:Johnson & Johnson (18+)Moderna (18+),
972,Gupta Gastro ,"238 Beach 20th Street, Queens",,N/A,Primary Care ,Vaccines offered:Johnson & Johnson (18+)Moderna (18+),
973,Harlem Cardiology on Madison Avenue ,"1787 Madison Avenue, Suite 50C, Manhattan",,(212) 348-9400,Primary Care ,Vaccine offered:Moderna (18+),
974,HCC Community Health Center ,"179 Jamaica Avenue, Brooklyn",,(929) 267-5354,Community Health Center/Clinic ,Vaccines offered:Moderna (18+)Pfizer (5-11),
975,Healthier Primary Care ,"136-20 38th Street, 5J, Queens","Walk-up vaccinations available to all eligible New Yorkers , ",(718) 661-2108,Primary Care ,Vaccines offered:Moderna (18+)Johnson & Johnson (18+),"Walk-up vaccinations available to all eligible New Yorkers , "
976,HealthNeed Medical Urgent Care ,"38-21 Main Street, Suite 1A, Queens","Walk-up vaccinations available to all eligible New Yorkers , ",(718) 888-1808,Urgent Care ,Vaccines offered:Pfizer (12+)Moderna (18+)Pfizer (5-11),"Walk-up vaccinations available to all eligible New Yorkers , "
977,"Healthy Children Pediatric Medicine, PC ","1240 Walton Avenue, Suite1, Bronx",,(718) 588-0303,Primary Care ,Vaccine offered:Pfizer (12+),
978,Heritage Healthcare Center Manhattan ,"1727 Amsterdam Avenue, 1st Floor, Manhattan",,(646) 979-4515,Community Health Center/Clinic ,Vaccines offered:Moderna (18+)Pfizer (12+),
979,Invicta Medical Group ,"8778 Bay Parkway, 2nd Floor, Brooklyn","Walk-up vaccinations available to all eligible New Yorkers , ",(718) 889-7445,Primary Care ,Vaccines offered:Moderna (18+)Pfizer (12+)Johnson & Johnson (18+),"Walk-up vaccinations available to all eligible New Yorkers , "
980,Isha Health Facility ,"679 East 138th Street, Bronx","Walk-up vaccinations available to all eligible New Yorkers , ",(718) 585-0008,Community Health Center/Clinic ,Vaccines offered:Johnson & Johnson (18+)Moderna (18+),"Walk-up vaccinations available to all eligible New Yorkers , "
981,Island Pediatrics Associates ,"114-12 Beach Channel Drive, Suite 7, Queens","Walk-up vaccinations available to all eligible New Yorkers , ",(718) 474-3375,Primary Care ,Vaccines offered:Pfizer (5-11)Pfizer (12+)Moderna (18+),"Walk-up vaccinations available to all eligible New Yorkers , "
982,J W Medical Services ,"765 52nd Street, 1st Floor, Brooklyn",,(718) 435-5980,Primary Care ,Vaccine offered:Pfizer (5-11),
983,JA Personal Medical Care ,"355 Ovington Ave, Suite 202, Brooklyn",,(718) 621-7100,Primary Care ,Vaccine offered:Moderna (18+),
